Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Month
SURVEY,2014,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17484000000.00,,4
SURVEY,2014,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18104000000.00,,5
SURVEY,2014,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17329000000.00,,6
SURVEY,2014,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17434000000.00,,7
SURVEY,2014,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17223000000.00,,8
SURVEY,2014,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16511000000.00,,9
SURVEY,2014,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17066000000.00,,10
SURVEY,2014,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16555000000.00,,11
SURVEY,2014,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17337000000.00,,12
SURVEY,2013,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17119000000.00,,1
SURVEY,2013,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15762000000.00,,2
SURVEY,2013,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17681000000.00,,3
SURVEY,2013,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17260000000.00,,4
SURVEY,2013,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17829000000.00,,5
SURVEY,2013,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16948000000.00,,6
SURVEY,2013,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16794000000.00,,7
SURVEY,2013,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16796000000.00,,8
SURVEY,2013,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15839000000.00,,9
SURVEY,2013,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16462000000.00,,10
SURVEY,2013,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15998000000.00,,11
SURVEY,2013,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16772000000.00,,12
SURVEY,2012,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17048000000.00,,1
SURVEY,2012,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16342000000.00,,2
SURVEY,2012,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17746000000.00,,3
SURVEY,2012,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17257000000.00,,4
SURVEY,2012,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17631000000.00,,5
SURVEY,2012,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16712000000.00,,6
SURVEY,2012,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16610000000.00,,7
SURVEY,2012,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16431000000.00,,8
SURVEY,2012,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15713000000.00,,9
SURVEY,2012,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16277000000.00,,10
SURVEY,2012,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16015000000.00,,11
SURVEY,2012,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16860000000.00,,12
SURVEY,2011,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16396000000.00,,1
SURVEY,2011,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15075000000.00,,2
SURVEY,2011,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16990000000.00,,3
SURVEY,2011,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16657000000.00,,4
SURVEY,2011,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17279000000.00,,5
SURVEY,2011,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16514000000.00,,6
SURVEY,2011,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16478000000.00,,7
SURVEY,2011,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16425000000.00,,8
SURVEY,2011,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15780000000.00,,9
SURVEY,2011,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16272000000.00,,10
SURVEY,2011,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15820000000.00,,11
SURVEY,2011,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16569000000.00,,12
SURVEY,2010,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16013000000.00,,1
SURVEY,2010,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,14750000000.00,,2
SURVEY,2010,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16607000000.00,,3
SURVEY,2010,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16419000000.00,,4
SURVEY,2010,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17042000000.00,,5
SURVEY,2010,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16356000000.00,,6
SURVEY,2010,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16447000000.00,,7
SURVEY,2010,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16105000000.00,,8
SURVEY,2010,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15550000000.00,,9
SURVEY,2010,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15914000000.00,,10
SURVEY,2010,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15514000000.00,,11
SURVEY,2010,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16160000000.00,,12
SURVEY,2009,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16123000000.00,,1
SURVEY,2009,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,14738000000.00,,2
SURVEY,2009,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16471000000.00,,3
SURVEY,2009,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16130000000.00,,4
SURVEY,2009,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16792000000.00,,5
SURVEY,2009,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15928000000.00,,6
SURVEY,2009,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16011000000.00,,7
SURVEY,2009,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15732000000.00,,8
